Group,ATL / Candidate,Group/Party/IND,Adamstown Snr Ctzn Cntr,Hamilton Comm. Hive,Hamilton Nth Public,Hamilton Public,Hamilton Sth Comm. Hall,Hamilton Sth Public,Islington Public,Kotara High,Kotara Sth Public,Merewether Hghts Public,Merewether Uniting,New Lambton Sth Public,Newcastle E Public,St Augustine's Anglican,St Columba's Adamstown,St Johns Cooks Hill,St Thereses New Lambton,The Junction Public,WEA Hunter Laman St Campus,Adamstown Pre-Poll,Lambton Pre-Poll,Mayfield Pre-Poll,Newcastle RO Office,Wallsend Pre-Poll,Enrolment/NAMAV,iVote,Postal,Total
A,ATL Votes,LABOR,423,124,11,465,213,433,18,388,343,307,271,64,13,151,379,172,20,517,31,1521,34,70,356,32,373,1493,425,8647
,DUNCAN Carol,Labor,37,8,0,46,17,33,2,21,17,20,26,1,2,16,19,12,2,37,2,161,2,5,29,1,32,72,28,648
,JOHNSON Phill,Labor,11,4,0,6,7,6,0,3,4,4,7,0,0,5,7,0,1,7,2,15,1,1,6,1,7,13,5,123
,SCHOFIELD Jenna,Labor,9,2,0,8,3,9,0,5,2,4,8,0,0,4,3,5,1,8,0,14,1,2,7,0,12,17,2,126
B,ATL Votes,THE GREENS,280,159,11,381,59,258,35,181,136,184,151,39,35,105,217,157,17,371,19,721,23,34,218,21,281,806,135,5034
,McCABE Charlotte,The Greens,34,11,1,47,9,21,1,17,12,16,16,7,4,14,14,16,1,36,3,61,2,2,12,4,34,46,9,450
,GILES Gregory,The Greens,2,1,0,3,2,3,0,0,1,2,3,0,0,2,0,0,0,3,0,10,0,1,2,0,1,5,1,42
,WHITTALL Graham,The Greens,0,0,0,2,0,4,0,0,1,0,1,0,1,1,0,1,0,2,0,4,0,0,1,0,0,5,0,23
C,ATL Votes,LIBERAL,162,64,6,199,47,358,6,244,163,270,185,31,13,153,220,115,17,449,17,993,16,29,266,21,142,926,302,5414
,BARRIE Jenny,Liberal,15,7,0,18,4,22,0,21,17,13,15,3,1,6,17,8,2,28,4,80,1,0,21,3,13,64,15,398
,McNAMARA Paul,Liberal,6,2,0,3,0,4,0,4,2,4,2,0,0,0,2,0,0,4,0,11,0,1,2,0,5,5,4,61
,WATERHOUSE Sharon,Liberal,1,0,0,2,0,6,0,5,2,1,2,0,0,1,1,3,0,5,0,12,1,1,3,0,2,11,2,61
D,ATL Votes,,148,52,7,161,43,250,9,126,144,196,158,24,11,154,203,108,10,260,12,846,10,21,249,9,98,423,271,4003
,FALLON Peter (PJ),IND,27,13,1,30,13,45,2,18,28,42,21,2,1,44,46,16,3,88,4,147,2,4,45,2,37,136,41,858
,PFEIFFER Scott,IND,5,0,0,5,0,6,0,5,2,3,3,1,0,2,7,3,1,3,1,21,0,2,0,0,8,9,8,95
,AMOS Danielle,IND,5,1,0,5,3,8,0,3,4,5,2,1,0,2,3,2,0,3,0,19,0,0,1,0,8,19,12,106
,Total Formal Votes,,1165,448,37,1381,420,1466,73,1041,878,1071,871,173,81,660,1138,618,75,1821,95,4636,93,173,1218,94,1053,4050,1260,26089
,Total Informal Ballot Papers,,57,14,2,60,42,65,5,57,33,38,46,11,2,27,50,30,4,74,4,158,1,4,33,6,33,38,22,916
,Total Votes / Ballot Papers,,1222,462,39,1441,462,1531,78,1098,911,1109,917,184,83,687,1188,648,79,1895,99,4794,94,177,1251,100,1086,4088,1282,27005
